image	caption	Label
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00207.JPG	a fire burns in the distance of a forest	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00193.JPG	a large plume of smoke rises from the ground	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00425.JPG	a large plume of smoke rises from the ground	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00495.JPG	a fire burns in the middle of a field	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00487.JPG	a fire burns in the middle of a pine forest	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00312.JPG	a large plume of smoke rises from the ground	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00309.JPG	a large fire in the middle of a forest	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00145.JPG	a forest fire burns through the trees	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00516.JPG	a fire burns in the distance of a forest	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00115.JPG	a fire burns in the mountains near the town of la jo, california	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00290.JPG	a large plume of smoke rises from the ground	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00459.JPG	a forest fire in the middle of a field	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00176.JPG	a fire burns in the middle of a forest	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00229.JPG	a fire burns through the trees	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00345.JPG	a large fire is seen in the distance of a field	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00040.JPG	a forest fire in the mountains	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00122.JPG	a forest fire in the middle of a forest	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00063.JPG	a fire burns in the distance of a field	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00571.JPG	a large open field with a fire burning in the distance	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00358.JPG	a large fire is seen in the distance of a forest	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00136.JPG	a fire burns in the distance of a field	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00042.JPG	a large fire burns in the middle of a field	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00372.JPG	a large forest fire in the middle of the forest	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00242.JPG	a forest fire is seen from above	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00331.JPG	a forest fire in the middle of the yellowstone river	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00604.JPG	a large open field with a small fire in the distance	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00118.JPG	a fire burns in the distance of a forest	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00088.JPG	a large forest with a few trees in the middle	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00183.JPG	a prescribed fire burns in the sierra fire area of the santa - yla national forest near santa -	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00174.JPG	a large plume of smoke rises from the ground	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00369.JPG	a fire burns in the middle of a field	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00365.JPG	a forest fire burns in the distance	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00549.JPG	a bird flying in the sky with a cloudy background	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00328.JPG	a large forest with a lot of smoke	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00332.JPG	aerial view of a burning field	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00392.JPG	a fire burns in the middle of a forest	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00065.JPG	a large forest filled with smoke	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00381.JPG	a large fire in the middle of a forest	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00394.JPG	a large field with a lot of smoke	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00405.JPG	a forest fire burns through the trees	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00200.JPG	a large open area with a large open area and a small forest	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00461.JPG	a large open field with a small fire in the distance	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00133.JPG	a fire burns in the distance of a forest	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00455.JPG	a fire burns through the trees in the distance of a forest	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00474.JPG	a forest fire in the middle of the yellowstone river	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00424.JPG	a fire burns in the distance of a forest	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00319.JPG	a forest fire in the mountains	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00070.JPG	a large area with a lot of burned land	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00463.JPG	a large forest fire is seen from above	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00349.JPG	a forest fire in the mountains	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00087.JPG	aerial view of a forest fire burning in the mountains	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00275.JPG	a large cloud of smoke rises over the mountains	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00520.JPG	aerial view of a forest fire	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00304.JPG	a large forest filled with trees and smoke	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00314.JPG	a large fire burns in the distance of a forest	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00500.JPG	a fire burns through the trees in the mountains	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00254.JPG	a fire burns in the mountains	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00218.JPG	a plane flying through the clouds	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00347.JPG	a large fire is burning in the middle of a field	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00155.JPG	a fire burns in the middle of a forest	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00139.JPG	a large fire is seen in the distance of a forested area	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00215.JPG	a forest fire in the middle of the pacific	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00580.JPG	a forest fire in the mountains	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00597.JPG	a large forest fire in the middle of the forest	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00550.JPG	a fire burns in the distance of a forest	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00482.JPG	a fire burns through the trees in the mountains	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00574.JPG	a forest fire in the middle of the forest	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00126.JPG	a forest fire in the middle of the pacific	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00302.JPG	a large open field with a fire in the distance	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00022.JPG	a fire burns through the trees in the pine forest	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00501.JPG	a forest fire in the mountains	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00066.JPG	a prescribed fire burns in the pine forest near the town of sema on friday, july 6,	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00528.JPG	a forest fire in the mountains	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00263.JPG	a forest fire in the mountains	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00324.JPG	a large fire is burning in the middle of a field	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00091.JPG	a fire burns in the distance of a field	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00611.JPG	a large plume of smoke rises from the fire	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00151.JPG	a large field with a lot of smoke in the middle	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00322.JPG	aerial view of a forest fire burning in the ground	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00076.JPG	a forest fire in the middle of a field	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00195.JPG	a fire burns in the middle of a forest	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00282.JPG	a large fire is seen in the distance of a forested area	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00411.JPG	a forest fire is seen from the air	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00499.JPG	a large area with a lot of trees and a lot of smoke	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00553.JPG	a large cloud of smoke rises over a valley	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00400.JPG	a forest fire is seen from above	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00481.JPG	a forest fire in the mountains	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00257.JPG	a fire burns through the trees in the forest	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00158.JPG	a fire burns in the distance of a forest	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00056.JPG	a forest fire in the middle of a forest	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00447.JPG	a large open field with trees and a small fire	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00148.JPG	a large plume of smoke rises from the ground	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00333.JPG	a large fire is seen from the air	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/test/Fire/RGB/00573.JPG	a forest fire burns through the trees	Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00079.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00082.JPG	a snake on the ground	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00098.JPG	aerial view of a forest in the mountains	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00091.JPG	a large open field with trees and mountains in the background	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00080.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00094.JPG	a large open field with trees and a forest in the background	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00043.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00010.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00046.JPG	aerial view of a pine forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00041.JPG	aerial view of a field	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00106.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00032.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00005.JPG	a crack in the ground	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00076.JPG	a crack in the ground	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00068.JPG	aerial view of a forest	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00051.JPG	a large open field with mountains in the background	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00083.JPG	a large open field with trees and mountains in the background	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00057.JPG	a large rock with a small hole in it	No Fire
D:/SEM 2 ASU/CSE 572 DATA MINING/Data_split/train/No Fire/RGB/00008.JPG	aerial view of a forest	No Fire
